Date,Close
2017-01-03,58.32
2017-01-04,58.82
2017-01-05,57.61
2017-01-06,56.77
2017-01-09,56.67
2017-01-10,58.74
2017-01-11,57.46
2017-01-12,57.15
2017-01-13,57.19
2017-01-17,57.05
2017-01-18,58.66
2017-01-19,60.07
2017-01-20,59.62
2017-01-23,60.24
2017-01-24,60.22
2017-01-25,60.74
2017-01-26,63.37
2017-01-27,62.42
2017-01-30,61.13
2017-01-31,62.27
2017-02-01,63.26
2017-02-02,61.15
2017-02-03,61.36
2017-02-06,60.96
2017-02-07,61.89
2017-02-08,61.89
2017-02-09,62.25
2017-02-10,62.39
2017-02-13,60.9
2017-02-14,61.6
2017-02-15,61.3
2017-02-16,60.61
2017-02-17,63.92
2017-02-21,63.2
2017-02-22,63.08
2017-02-23,62.07
2017-02-24,62.21
2017-02-27,62.17
2017-02-28,62.53
2017-03-01,62.34
2017-03-02,62.54
2017-03-03,63.56
2017-03-06,62.84
2017-03-07,61.63
2017-03-08,61.41
2017-03-09,61.14
2017-03-10,61.48
2017-03-13,61.84
2017-03-14,61.35
2017-03-15,62.99
2017-03-16,62.39
2017-03-17,63.5
2017-03-20,63.11
2017-03-21,62.47
2017-03-22,63.27
2017-03-23,63.12
2017-03-24,64.17
2017-03-27,64.22
2017-03-28,64.23
2017-03-29,64.74
2017-03-30,65.13
2017-03-31,64.59
2017-04-03,63.55
2017-04-04,63.68
2017-04-05,63.5
2017-04-06,63.24
2017-04-07,63.58
2017-04-10,63.89
2017-04-11,63.93
2017-04-12,63.92
2017-04-13,64.04
2017-04-17,64.94
2017-04-18,64.61
2017-04-19,65.13
2017-04-20,64.81
2017-04-21,64.7
2017-04-24,65.93
2017-04-25,67.35
2017-04-26,67.58
2017-04-27,67.74
2017-04-28,67.27
2017-05-01,68.31
2017-05-02,66.94
2017-05-03,65.35
2017-05-04,65.48
2017-05-05,66.49
2017-05-08,66.15
2017-05-09,65.5
2017-05-10,66.0
2017-05-11,65.81
2017-05-12,65.55
2017-05-15,65.69
2017-05-16,65.91
2017-05-17,63.91
2017-05-18,65.72
2017-05-19,66.37
2017-05-22,67.22
2017-05-23,67.62
2017-05-24,67.89
2017-05-25,67.86
2017-05-26,67.8
2017-05-30,67.08
2017-05-31,67.42
2017-06-01,67.9
2017-06-02,68.32
2017-06-05,67.4
2017-06-06,66.11
2017-06-07,65.92
2017-06-08,65.69
2017-06-09,63.84
2017-06-12,64.67
2017-06-13,64.01
2017-06-14,63.27
2017-06-15,63.6
2017-06-16,63.13
2017-06-19,64.01
2017-06-20,63.98
2017-06-21,63.57
2017-06-22,63.56
2017-06-23,63.4
2017-06-26,63.15
2017-06-27,61.01
2017-06-28,61.48
2017-06-29,60.3
2017-06-30,60.62
2017-07-03,60.0
2017-07-05,59.95
2017-07-06,59.45
2017-07-07,60.01
2017-07-10,60.8
2017-07-11,61.23
2017-07-12,61.51
2017-07-13,60.91
2017-07-14,61.24
2017-07-17,61.38
2017-07-18,61.39
2017-07-19,61.97
2017-07-20,61.12
2017-07-21,62.58
2017-07-24,62.53
2017-07-25,62.36
2017-07-26,62.39
2017-07-27,61.62
2017-07-28,61.78
2017-07-31,61.66
2017-08-01,63.07
2017-08-02,63.63
2017-08-03,63.73
2017-08-04,64.52
2017-08-07,64.26
2017-08-08,63.9
2017-08-09,63.8
2017-08-10,62.47
2017-08-11,63.61
2017-08-14,63.78
2017-08-15,63.88
2017-08-16,64.28
2017-08-17,62.99
2017-08-18,63.0
2017-08-21,62.83
2017-08-22,64.38
2017-08-23,64.0
2017-08-24,63.97
2017-08-25,63.74
2017-08-28,63.72
2017-08-29,63.47
2017-08-30,64.25
2017-08-31,64.71
2017-09-01,64.16
2017-09-05,63.64
2017-09-06,63.79
2017-09-07,63.34
2017-09-08,62.74
2017-09-11,63.03
2017-09-12,62.98
2017-09-13,62.8
2017-09-14,61.17
2017-09-15,61.17
2017-09-18,61.8
2017-09-19,65.42
2017-09-20,63.52
2017-09-21,63.39
2017-09-22,64.06
2017-09-25,62.89
2017-09-26,63.03
2017-09-27,62.39
2017-09-28,61.92
2017-09-29,61.66
2017-10-02,61.52
2017-10-03,61.68
2017-10-04,61.5
2017-10-05,61.52
2017-10-06,62.41
2017-10-09,61.56
2017-10-10,61.23
2017-10-11,61.18
2017-10-12,61.28
2017-10-13,61.39
2017-10-16,60.97
2017-10-17,60.94
2017-10-18,60.68
2017-10-19,61.51
2017-10-20,60.46
2017-10-23,61.47
2017-10-24,62.28
2017-10-25,61.93
2017-10-26,61.73
2017-10-27,62.95
2017-10-30,59.58
2017-10-31,59.77
2017-11-01,59.75
2017-11-02,58.3
2017-11-03,58.91
2017-11-06,55.54
2017-11-07,55.36
2017-11-08,56.22
2017-11-09,56.0
2017-11-10,56.8
2017-11-13,56.44
2017-11-14,56.54
2017-11-15,56.69
2017-11-16,59.8
2017-11-17,60.02
2017-11-20,60.3
2017-11-21,60.41
2017-11-22,61.35
2017-11-24,61.68
2017-11-27,62.78
2017-11-28,61.38
2017-11-29,61.83
