Date,Close
2017-01-03,46.64
2017-01-04,46.85
2017-01-05,47.11
2017-01-06,48.25
2017-01-09,48.78
2017-01-10,49.47
2017-01-11,49.09
2017-01-12,49.31
2017-01-13,49.23
2017-01-17,47.36
2017-01-18,47.38
2017-01-19,50.21
2017-01-20,49.56
2017-01-23,50.5
2017-01-24,52.16
2017-01-25,53.0
2017-01-26,52.82
2017-01-27,52.23
2017-01-30,52.15
2017-01-31,52.57
2017-02-01,52.19
2017-02-02,53.52
2017-02-03,53.97
2017-02-06,53.8
2017-02-07,53.82
2017-02-08,54.22
2017-02-09,54.79
2017-02-10,54.18
2017-02-13,54.3
2017-02-14,54.46
2017-02-15,54.7
2017-02-16,53.66
2017-02-17,54.26
2017-02-21,55.37
2017-02-22,54.85
2017-02-23,54.67
2017-02-24,55.1
2017-02-27,54.87
2017-02-28,53.89
2017-03-01,55.75
2017-03-02,54.95
2017-03-03,55.59
2017-03-06,54.96
2017-03-07,54.8
2017-03-08,55.57
2017-03-09,54.98
2017-03-10,55.22
2017-03-13,55.77
2017-03-14,55.68
2017-03-15,56.43
2017-03-16,56.27
2017-03-17,56.19
2017-03-20,55.64
2017-03-21,53.67
2017-03-22,53.6
2017-03-23,52.09
2017-03-24,51.94
2017-03-27,52.62
2017-03-28,52.72
2017-03-29,53.07
2017-03-30,52.47
2017-03-31,52.55
2017-04-03,52.26
2017-04-04,51.86
2017-04-05,51.24
2017-04-06,51.98
2017-04-07,51.89
2017-04-10,52.18
2017-04-11,52.56
2017-04-12,52.07
2017-04-13,51.54
2017-04-17,52.46
2017-04-18,53.23
2017-04-19,53.69
2017-04-20,52.98
2017-04-21,51.93
2017-04-24,53.35
2017-04-25,53.69
2017-04-26,53.88
2017-04-27,54.08
2017-04-28,54.05
2017-05-01,54.82
2017-05-02,54.74
2017-05-03,53.58
2017-05-04,53.99
2017-05-05,54.34
2017-05-08,53.33
2017-05-09,53.82
2017-05-10,53.32
2017-05-11,53.03
2017-05-12,52.95
2017-05-15,52.62
2017-05-16,53.52
2017-05-17,51.63
2017-05-18,51.14
2017-05-19,55.0
2017-05-22,55.93
2017-05-23,55.9
2017-05-24,57.14
2017-05-25,58.14
2017-05-26,58.0
2017-05-30,57.97
2017-05-31,57.58
2017-06-01,57.79
2017-06-02,59.07
2017-06-05,58.87
2017-06-06,59.26
2017-06-07,59.22
2017-06-08,59.69
2017-06-09,56.99
2017-06-12,56.05
2017-06-13,57.87
2017-06-14,57.6
2017-06-15,56.97
2017-06-16,57.14
2017-06-19,57.43
2017-06-20,56.82
2017-06-21,57.39
2017-06-22,57.8
2017-06-23,58.89
2017-06-26,58.49
2017-06-27,56.21
2017-06-28,57.0
2017-06-29,55.51
2017-06-30,55.12
2017-07-03,53.89
2017-07-05,56.11
2017-07-06,55.53
2017-07-07,56.79
2017-07-10,56.81
2017-07-11,57.38
2017-07-12,58.02
2017-07-13,57.37
2017-07-14,58.06
2017-07-17,57.49
2017-07-18,58.05
2017-07-19,58.92
2017-07-20,54.1
2017-07-21,55.22
2017-07-24,55.73
2017-07-25,55.74
2017-07-26,55.88
2017-07-27,55.2
2017-07-28,55.32
2017-07-31,55.19
2017-08-01,55.48
2017-08-02,54.44
2017-08-03,54.11
2017-08-04,54.06
2017-08-07,54.15
2017-08-08,53.68
2017-08-09,53.84
2017-08-10,52.54
2017-08-11,53.34
2017-08-14,53.42
2017-08-15,53.39
2017-08-16,54.01
2017-08-17,52.99
2017-08-18,53.52
2017-08-21,53.43
2017-08-22,54.57
2017-08-23,54.26
2017-08-24,54.73
2017-08-25,55.16
2017-08-28,54.83
2017-08-29,54.73
2017-08-30,55.76
2017-08-31,56.0
2017-09-01,55.9
2017-09-05,55.93
2017-09-06,55.91
2017-09-07,55.61
2017-09-08,55.4
2017-09-11,56.05
2017-09-12,56.27
2017-09-13,56.05
2017-09-14,55.16
2017-09-15,54.65
2017-09-18,54.95
2017-09-19,55.44
2017-09-20,56.23
2017-09-21,56.23
2017-09-22,56.94
2017-09-25,56.22
2017-09-26,55.62
2017-09-27,56.02
2017-09-28,56.03
2017-09-29,56.28
2017-10-02,56.28
2017-10-03,56.64
2017-10-04,57.0
2017-10-05,57.75
2017-10-06,58.32
2017-10-09,58.58
2017-10-10,58.98
2017-10-11,59.33
2017-10-12,59.58
2017-10-13,60.04
2017-10-16,60.02
2017-10-17,60.26
2017-10-18,60.64
2017-10-19,60.12
2017-10-20,60.72
2017-10-23,60.76
2017-10-24,61.09
2017-10-25,60.09
2017-10-26,64.67
2017-10-27,66.43
2017-10-30,66.16
2017-10-31,66.45
2017-11-01,65.81
2017-11-02,66.45
2017-11-03,66.25
2017-11-06,65.5
2017-11-07,65.13
2017-11-08,65.04
2017-11-09,64.66
2017-11-10,64.79
2017-11-13,64.58
2017-11-14,64.28
2017-11-15,63.92
2017-11-16,65.2
2017-11-17,65.12
2017-11-20,65.37
2017-11-21,65.03
2017-11-22,65.1
2017-11-24,65.77
2017-11-27,65.46
2017-11-28,65.69
2017-11-29,62.26
2017-11-30,63.68
2017-12-01,62.64
2017-12-04,61.61
2017-12-05,61.53
2017-12-06,61.52
2017-12-07,62.31
2017-12-08,61.7
2017-12-11,61.44
2017-12-12,60.55
2017-12-13,60.8
2017-12-14,60.13
2017-12-15,60.46
2017-12-18,60.57
2017-12-19,59.85
2017-12-20,59.46
2017-12-21,60.05
2017-12-22,60.0
2017-12-26,60.06
2017-12-27,60.34
2017-12-28,61.24
2017-12-29,60.77
2018-01-02,61.16
2018-01-03,61.94
2018-01-04,63.0
2018-01-05,63.65
2018-01-08,64.4
2018-01-09,64.53
2018-01-10,64.57
2018-01-11,65.79
2018-01-12,65.93
2018-01-16,65.29
2018-01-17,66.7
2018-01-18,69.95
2018-01-19,71.46
2018-01-22,72.85
2018-01-23,74.48
2018-01-24,73.42
2018-01-25,73.18
2018-01-26,73.5
