Date,Close
2017-01-03,39.62
2017-01-04,39.12
2017-01-05,39.05
2017-01-06,38.49
2017-01-09,38.05
2017-01-10,37.63
2017-01-11,36.87
2017-01-12,36.75
2017-01-13,36.9
2017-01-17,37.02
2017-01-18,37.24
2017-01-19,36.34
2017-01-20,36.47
2017-01-23,36.37
2017-01-24,37.44
2017-01-25,42.67
2017-01-26,43.9
2017-01-27,44.5
2017-01-30,44.9
2017-01-31,45.15
2017-02-01,44.78
2017-02-02,45.27
2017-02-03,46.29
2017-02-06,45.44
2017-02-07,46.1
2017-02-08,45.8
2017-02-09,46.37
2017-02-10,46.46
2017-02-13,47.8
2017-02-14,47.85
2017-02-15,48.15
2017-02-16,47.57
2017-02-17,47.14
2017-02-21,47.43
2017-02-22,47.35
2017-02-23,47.39
2017-02-24,47.75
2017-02-27,47.69
2017-02-28,48.19
2017-03-01,49.48
2017-03-02,48.92
2017-03-03,48.96
2017-03-06,48.51
2017-03-07,48.28
2017-03-08,48.11
2017-03-09,46.68
2017-03-10,47.28
2017-03-13,47.57
2017-03-14,46.7
2017-03-15,47.06
2017-03-16,47.23
2017-03-17,46.87
2017-03-20,46.08
2017-03-21,44.51
2017-03-22,45.01
2017-03-23,45.13
2017-03-24,45.24
2017-03-27,44.91
2017-03-28,45.28
2017-03-29,45.67
2017-03-30,47.12
2017-03-31,45.93
2017-04-03,45.3
2017-04-04,45.97
2017-04-05,46.0
2017-04-06,46.25
2017-04-07,46.85
2017-04-10,47.6
2017-04-11,49.09
2017-04-12,48.34
2017-04-13,48.17
2017-04-17,48.49
2017-04-18,48.54
2017-04-19,48.56
2017-04-20,48.55
2017-04-21,48.26
2017-04-24,49.42
2017-04-25,50.51
2017-04-26,42.01
2017-04-27,42.3
2017-04-28,42.13
2017-05-01,42.18
2017-05-02,42.44
2017-05-03,42.51
2017-05-04,42.58
2017-05-05,43.55
2017-05-08,42.87
2017-05-09,42.83
2017-05-10,43.11
2017-05-11,42.48
2017-05-12,43.04
2017-05-15,43.48
2017-05-16,44.0
2017-05-17,42.16
2017-05-18,42.25
2017-05-19,42.51
2017-05-22,42.77
2017-05-23,42.63
2017-05-24,42.73
2017-05-25,43.11
2017-05-26,42.53
2017-05-30,43.24
2017-05-31,43.57
2017-06-01,42.88
2017-06-02,43.22
2017-06-05,42.08
2017-06-06,41.89
2017-06-07,41.94
2017-06-08,42.77
2017-06-09,42.37
2017-06-12,41.54
2017-06-13,42.03
2017-06-14,41.28
2017-06-15,41.52
2017-06-16,42.03
2017-06-19,41.83
2017-06-20,41.04
2017-06-21,41.66
2017-06-22,42.01
2017-06-23,42.67
2017-06-26,42.39
2017-06-27,39.51
2017-06-28,40.18
2017-06-29,38.91
2017-06-30,38.75
2017-07-03,38.59
2017-07-05,39.02
2017-07-06,37.29
2017-07-07,38.2
2017-07-10,38.39
2017-07-11,38.72
2017-07-12,39.7
2017-07-13,38.32
2017-07-14,39.5
2017-07-17,39.07
2017-07-18,38.83
2017-07-19,39.24
2017-07-20,39.42
2017-07-21,39.58
2017-07-24,39.76
2017-07-25,33.2
2017-07-26,32.34
2017-07-27,32.56
2017-07-28,32.61
2017-07-31,32.96
2017-08-01,33.37
2017-08-02,33.42
2017-08-03,33.57
2017-08-04,33.43
2017-08-07,33.48
2017-08-08,32.99
2017-08-09,32.6
2017-08-10,31.55
2017-08-11,32.29
2017-08-14,32.55
2017-08-15,32.28
2017-08-16,32.48
2017-08-17,31.51
2017-08-18,31.37
2017-08-21,31.46
2017-08-22,32.29
2017-08-23,31.01
2017-08-24,31.02
2017-08-25,31.25
2017-08-28,31.49
2017-08-29,31.45
2017-08-30,31.5
2017-08-31,31.53
2017-09-01,31.8
2017-09-05,32.75
2017-09-06,32.79
2017-09-07,32.34
2017-09-08,31.99
2017-09-11,30.95
2017-09-12,31.89
2017-09-13,32.78
2017-09-14,32.65
2017-09-15,33.55
2017-09-18,33.52
2017-09-19,32.18
2017-09-20,32.38
2017-09-21,32.72
2017-09-22,33.57
2017-09-25,33.16
2017-09-26,32.87
2017-09-27,33.18
2017-09-28,32.98
2017-09-29,33.17
2017-10-02,34.2
2017-10-03,34.05
2017-10-04,33.98
2017-10-05,34.1
2017-10-06,33.79
2017-10-09,33.85
2017-10-10,33.75
2017-10-11,33.5
2017-10-12,33.62
2017-10-13,34.4
2017-10-16,34.49
2017-10-17,33.96
2017-10-18,34.26
2017-10-19,34.34
2017-10-20,34.94
2017-10-23,39.35
2017-10-24,38.84
2017-10-25,38.15
2017-10-26,38.18
2017-10-27,36.9
2017-10-30,36.68
2017-10-31,36.97
2017-11-01,36.96
2017-11-02,36.77
2017-11-03,36.33
2017-11-06,37.46
2017-11-07,37.12
2017-11-08,37.71
2017-11-09,37.41
2017-11-10,37.99
2017-11-13,37.66
2017-11-14,37.49
2017-11-15,37.81
2017-11-16,39.12
2017-11-17,39.42
2017-11-20,39.85
2017-11-21,40.14
2017-11-22,40.33
2017-11-24,40.29
2017-11-27,39.08
2017-11-28,39.98
2017-11-29,38.75
2017-11-30,38.56
2017-12-01,39.11
2017-12-04,39.2
2017-12-05,39.13
2017-12-06,39.18
2017-12-07,39.58
2017-12-08,40.49
2017-12-11,40.47
2017-12-12,42.12
2017-12-13,42.08
2017-12-14,41.94
2017-12-15,42.02
2017-12-18,42.99
2017-12-19,42.18
2017-12-20,41.53
2017-12-21,41.96
2017-12-22,42.17
2017-12-26,42.14
2017-12-27,42.11
2017-12-28,42.02
2017-12-29,41.84
2018-01-02,42.93
2018-01-03,42.85
2018-01-04,42.64
2018-01-05,42.94
2018-01-08,46.0
2018-01-09,46.39
2018-01-10,47.07
2018-01-11,49.01
2018-01-12,51.26
2018-01-16,51.51
2018-01-17,52.14
2018-01-18,52.01
2018-01-19,52.62
2018-01-22,53.16
2018-01-23,54.06
2018-01-24,52.97
2018-01-25,53.17
2018-01-26,54.94
2018-01-29,55.11
2018-01-30,54.98
2018-01-31,55.2
2018-02-01,54.44
2018-02-02,51.77
2018-02-05,49.65
2018-02-06,48.68
2018-02-07,49.55
2018-02-08,47.44
2018-02-09,47.82
2018-02-12,49.17
2018-02-13,49.63
2018-02-14,51.37
2018-02-15,51.52
2018-02-16,51.42
2018-02-20,52.12
2018-02-21,51.44
2018-02-22,51.36
2018-02-23,53.29
2018-02-26,53.55
2018-02-27,52.87
2018-02-28,53.4
2018-03-01,54.0
2018-03-02,54.12
2018-03-05,55.14
2018-03-06,56.23
2018-03-07,56.3
2018-03-08,58.88
2018-03-09,60.19
2018-03-12,60.21
2018-03-13,59.68
2018-03-14,59.93
2018-03-15,59.57
2018-03-16,60.09
2018-03-19,60.4
2018-03-20,59.91
2018-03-21,59.9
2018-03-22,59.04
2018-03-23,56.28
2018-03-26,58.13
2018-03-27,57.37
