Date,Close
2017-01-03,82.5
2017-01-04,82.34
2017-01-05,81.78
2017-01-06,82.3
2017-01-09,82.25
2017-01-10,81.93
2017-01-11,82.84
2017-01-12,81.89
2017-01-13,82.64
2017-01-17,82.38
2017-01-18,83.0
2017-01-19,84.53
2017-01-20,84.38
2017-01-23,84.37
2017-01-24,84.51
2017-01-25,85.61
2017-01-26,85.84
2017-01-27,86.08
2017-01-30,85.26
2017-01-31,84.6
2017-02-01,84.64
2017-02-02,84.5
2017-02-03,85.45
2017-02-06,85.65
2017-02-07,85.81
2017-02-08,86.36
2017-02-09,86.79
2017-02-10,86.45
2017-02-13,87.38
2017-02-14,87.89
2017-02-15,89.46
2017-02-16,89.44
2017-02-17,89.36
2017-02-21,87.99
2017-02-22,87.68
2017-02-23,87.0
2017-02-24,87.08
2017-02-27,87.45
2017-02-28,86.99
2017-03-01,88.49
2017-03-02,87.52
2017-03-03,86.79
2017-03-06,86.72
2017-03-07,86.15
2017-03-08,86.39
2017-03-09,86.31
2017-03-10,86.62
2017-03-13,87.03
2017-03-14,86.27
2017-03-15,87.82
2017-03-16,88.06
2017-03-17,88.33
2017-03-20,88.68
2017-03-21,89.1
2017-03-22,92.14
2017-03-23,93.14
2017-03-24,93.5
2017-03-27,93.17
2017-03-28,94.49
2017-03-29,94.59
2017-03-30,94.64
2017-03-31,94.18
2017-04-03,92.75
2017-04-04,92.47
2017-04-05,91.96
2017-04-06,91.77
2017-04-07,91.21
2017-04-10,91.06
2017-04-11,91.4
2017-04-12,91.75
2017-04-13,91.55
2017-04-17,91.95
2017-04-18,92.02
2017-04-19,91.49
2017-04-20,92.77
2017-04-21,92.47
2017-04-24,93.52
2017-04-25,94.57
2017-04-26,96.3
2017-04-27,95.74
2017-04-28,94.42
2017-05-01,95.58
2017-05-02,97.1
2017-05-03,96.99
2017-05-04,96.88
2017-05-05,97.05
2017-05-08,96.37
2017-05-09,102.5
2017-05-10,103.24
2017-05-11,102.82
2017-05-12,102.45
2017-05-15,104.06
2017-05-16,103.99
2017-05-17,102.11
2017-05-18,102.53
2017-05-19,102.82
2017-05-22,104.22
2017-05-23,105.49
2017-05-24,105.88
2017-05-25,106.53
2017-05-26,106.9
2017-05-30,106.74
2017-05-31,107.65
2017-06-01,108.68
2017-06-02,110.06
2017-06-05,108.19
2017-06-06,104.99
2017-06-07,105.12
2017-06-08,105.08
2017-06-09,102.42
2017-06-12,102.07
2017-06-13,103.88
2017-06-14,103.91
2017-06-15,104.74
2017-06-16,104.5
2017-06-19,105.93
2017-06-20,104.19
2017-06-21,104.13
2017-06-22,103.89
2017-06-23,104.06
2017-06-26,103.93
2017-06-27,101.03
2017-06-28,101.98
2017-06-29,100.21
2017-06-30,100.31
2017-07-03,100.11
2017-07-05,101.17
2017-07-06,99.65
2017-07-07,100.35
2017-07-10,100.71
2017-07-11,100.73
2017-07-12,100.8
2017-07-13,100.7
2017-07-14,100.99
