Date,Close
2017-01-03,65.4
2017-01-04,65.47
2017-01-05,65.55
2017-01-06,65.53
2017-01-09,65.65
2017-01-10,65.63
2017-01-11,66.1
2017-01-12,66.12
2017-01-13,66.88
2017-01-17,64.19
2017-01-18,65.13
2017-01-19,64.44
2017-01-20,62.88
2017-01-23,54.88
2017-01-24,55.0
2017-01-25,56.9
2017-01-26,54.05
2017-01-27,54.24
2017-01-30,53.61
2017-01-31,53.43
2017-02-01,53.15
2017-02-02,52.66
2017-02-03,52.98
2017-02-06,52.88
2017-02-07,53.27
2017-02-08,52.89
2017-02-09,52.88
2017-02-10,54.0
2017-02-13,54.93
2017-02-14,55.48
2017-02-15,56.49
2017-02-16,56.88
2017-02-17,56.46
2017-02-21,56.75
2017-02-22,57.1
2017-02-23,57.14
2017-02-24,57.22
2017-02-27,56.73
2017-02-28,56.48
2017-03-01,57.01
2017-03-02,56.37
2017-03-03,56.44
2017-03-06,56.45
2017-03-07,56.73
2017-03-08,57.77
2017-03-09,57.97
2017-03-10,58.64
2017-03-13,58.46
2017-03-14,58.22
2017-03-15,58.52
2017-03-16,58.35
2017-03-17,57.55
2017-03-20,57.81
2017-03-21,56.8
2017-03-22,57.04
2017-03-23,56.81
2017-03-24,56.92
2017-03-27,56.66
2017-03-28,57.38
2017-03-29,57.36
2017-03-30,57.2
2017-03-31,57.34
2017-04-03,56.5
2017-04-04,56.68
2017-04-05,56.47
2017-04-06,56.53
2017-04-07,56.32
2017-04-10,56.52
2017-04-11,55.35
2017-04-12,53.39
2017-04-13,52.79
2017-04-17,52.89
2017-04-18,52.67
2017-04-19,52.61
2017-04-20,52.66
2017-04-21,52.5
2017-04-24,52.81
2017-04-25,53.0
2017-04-26,53.04
2017-04-27,53.21
2017-04-28,53.74
2017-05-01,53.6
2017-05-02,53.29
2017-05-03,54.49
2017-05-04,54.91
2017-05-05,54.93
2017-05-08,54.62
2017-05-09,55.15
2017-05-10,55.33
2017-05-11,54.68
2017-05-12,55.32
2017-05-15,55.4
2017-05-16,55.95
2017-05-17,55.36
2017-05-18,56.12
2017-05-19,57.67
2017-05-22,59.28
2017-05-23,59.22
2017-05-24,58.64
2017-05-25,58.45
2017-05-26,57.52
2017-05-30,57.34
2017-05-31,57.27
2017-06-01,58.62
2017-06-02,58.58
2017-06-05,58.86
2017-06-06,58.2
2017-06-07,57.53
2017-06-08,58.12
2017-06-09,57.05
2017-06-12,57.49
2017-06-13,57.54
2017-06-14,57.01
2017-06-15,56.93
2017-06-16,56.82
2017-06-19,57.61
2017-06-20,56.79
2017-06-21,56.33
2017-06-22,56.47
2017-06-23,56.91
2017-06-26,56.56
2017-06-27,55.43
2017-06-28,56.16
2017-06-29,55.08
2017-06-30,55.22
2017-07-03,54.95
2017-07-05,55.45
2017-07-06,54.79
2017-07-07,55.35
2017-07-10,55.64
2017-07-11,55.33
2017-07-12,56.2
2017-07-13,56.23
2017-07-14,56.81
2017-07-17,56.46
2017-07-18,56.29
2017-07-19,56.78
2017-07-20,53.97
2017-07-21,53.84
2017-07-24,53.22
2017-07-25,53.27
2017-07-26,53.14
2017-07-27,52.49
2017-07-28,52.88
2017-07-31,53.19
2017-08-01,53.41
2017-08-02,53.17
2017-08-03,52.95
2017-08-04,52.62
2017-08-07,52.7
2017-08-08,52.29
2017-08-09,52.77
2017-08-10,52.34
2017-08-11,52.72
2017-08-14,53.55
2017-08-15,53.87
2017-08-16,53.31
2017-08-17,52.27
2017-08-18,51.92
2017-08-21,51.98
2017-08-22,52.35
2017-08-23,52.23
2017-08-24,52.49
2017-08-25,52.03
2017-08-28,51.81
2017-08-29,51.81
2017-08-30,52.12
2017-08-31,52.27
2017-09-01,52.05
2017-09-05,50.03
2017-09-06,50.45
2017-09-07,50.38
2017-09-08,49.64
2017-09-11,50.57
2017-09-12,50.9
2017-09-13,51.01
2017-09-14,51.48
2017-09-15,52.19
2017-09-18,52.25
2017-09-19,52.3
2017-09-20,51.98
2017-09-21,52.03
2017-09-22,52.09
2017-09-25,51.62
2017-09-26,51.13
2017-09-27,51.55
2017-09-28,51.75
2017-09-29,51.84
2017-10-02,51.88
2017-10-03,52.02
2017-10-04,51.96
2017-10-05,52.35
