Date,Close
2017-01-03,64.7
2017-01-04,65.93
2017-01-05,66.29
2017-01-06,65.89
2017-01-09,65.42
2017-01-10,64.5
2017-01-11,65.7
2017-01-12,66.12
2017-01-13,65.5
2017-01-17,65.87
2017-01-18,66.48
2017-01-19,66.58
2017-01-20,65.16
2017-01-23,65.07
2017-01-24,66.42
2017-01-25,66.6
2017-01-26,65.95
2017-01-27,66.52
2017-01-30,65.84
2017-01-31,65.67
2017-02-01,65.94
2017-02-02,65.62
2017-02-03,67.33
2017-02-06,67.34
2017-02-07,67.02
2017-02-08,67.6
2017-02-09,71.73
2017-02-10,71.92
2017-02-13,71.45
2017-02-14,71.08
2017-02-15,71.83
2017-02-16,72.93
2017-02-17,73.27
2017-02-21,74.51
2017-02-22,74.06
2017-02-23,73.95
2017-02-24,73.95
2017-02-27,73.6
2017-02-28,72.59
2017-03-01,73.69
2017-03-02,73.96
2017-03-03,73.82
2017-03-06,73.21
2017-03-07,72.86
2017-03-08,73.11
2017-03-09,73.46
2017-03-10,74.47
2017-03-13,74.76
2017-03-14,74.37
2017-03-15,74.92
2017-03-16,75.15
2017-03-17,75.48
2017-03-20,75.23
2017-03-21,74.27
2017-03-22,74.77
2017-03-23,74.86
2017-03-24,75.05
2017-03-27,74.89
2017-03-28,75.12
2017-03-29,75.41
2017-03-30,75.86
2017-03-31,75.7
2017-04-03,75.72
2017-04-04,74.9
2017-04-05,74.13
2017-04-06,74.7
2017-04-07,74.69
2017-04-10,74.62
2017-04-11,75.29
2017-04-12,75.24
2017-04-13,75.11
2017-04-17,76.23
2017-04-18,75.94
2017-04-19,76.83
2017-04-20,77.72
2017-04-21,77.91
2017-04-24,78.24
2017-04-25,78.75
2017-04-26,79.72
2017-04-27,80.62
2017-04-28,78.64
2017-05-01,77.7
2017-05-02,77.62
2017-05-03,77.28
2017-05-04,77.35
2017-05-05,77.5
2017-05-08,76.8
2017-05-09,76.98
2017-05-10,76.83
2017-05-11,77.29
2017-05-12,76.73
2017-05-15,77.24
2017-05-16,78.48
2017-05-17,77.01
2017-05-18,77.32
2017-05-19,79.06
2017-05-22,79.46
2017-05-23,78.9
2017-05-24,79.05
2017-05-25,79.46
2017-05-26,79.38
2017-05-30,78.46
2017-05-31,78.63
2017-06-01,79.14
2017-06-02,80.06
2017-06-05,80.0
2017-06-06,78.54
2017-06-07,78.33
2017-06-08,77.65
2017-06-09,77.23
2017-06-12,78.45
2017-06-13,79.28
2017-06-14,79.75
2017-06-15,80.75
2017-06-16,81.58
2017-06-19,82.17
2017-06-20,81.91
2017-06-21,81.51
2017-06-22,81.19
2017-06-23,81.45
2017-06-26,81.41
2017-06-27,80.59
2017-06-28,81.24
2017-06-29,79.82
2017-06-30,81.12
2017-07-03,81.37
2017-07-05,82.14
2017-07-06,80.66
2017-07-07,81.22
2017-07-10,81.53
2017-07-11,81.47
2017-07-12,81.99
2017-07-13,80.79
2017-07-14,80.77
2017-07-17,80.83
2017-07-18,80.6
2017-07-19,80.7
2017-07-20,81.09
2017-07-21,80.41
2017-07-24,80.31
2017-07-25,79.1
2017-07-26,78.49
2017-07-27,81.2
2017-07-28,81.4
2017-07-31,81.24
2017-08-01,81.47
2017-08-02,80.85
2017-08-03,80.76
2017-08-04,81.32
2017-08-07,81.99
2017-08-08,81.37
2017-08-09,80.59
2017-08-10,78.92
2017-08-11,79.28
2017-08-14,79.47
2017-08-15,78.95
2017-08-16,79.29
2017-08-17,78.83
2017-08-18,78.17
2017-08-21,77.48
2017-08-22,78.08
2017-08-23,77.09
2017-08-24,77.15
2017-08-25,77.62
2017-08-28,78.05
2017-08-29,77.77
2017-08-30,78.3
2017-08-31,78.71
2017-09-01,79.15
2017-09-05,79.4
2017-09-06,80.26
2017-09-07,80.22
2017-09-08,80.81
2017-09-11,81.07
2017-09-12,81.0
2017-09-13,81.81
2017-09-14,82.62
2017-09-15,82.77
2017-09-18,82.65
2017-09-19,82.85
2017-09-20,83.57
2017-09-21,83.47
2017-09-22,84.55
2017-09-25,84.5
2017-09-26,85.35
2017-09-27,85.33
2017-09-28,85.76
2017-09-29,86.47
2017-10-02,86.53
2017-10-03,87.47
2017-10-04,86.73
2017-10-05,87.07
2017-10-06,87.19
2017-10-09,87.62
2017-10-10,87.81
2017-10-11,88.15
2017-10-12,89.56
2017-10-13,88.3
2017-10-16,88.14
2017-10-17,87.0
2017-10-18,87.6
2017-10-19,87.74
2017-10-20,88.02
2017-10-23,87.31
2017-10-24,88.48
2017-10-25,86.49
2017-10-26,80.7
2017-10-27,80.29
2017-10-30,81.97
2017-10-31,83.39
2017-11-01,82.73
2017-11-02,82.23
2017-11-03,82.02
2017-11-06,83.09
2017-11-07,83.53
2017-11-08,83.43
2017-11-09,82.08
2017-11-10,83.13
2017-11-13,83.94
2017-11-14,82.9
2017-11-15,82.03
2017-11-16,82.41
2017-11-17,82.65
2017-11-20,83.24
2017-11-21,83.4
2017-11-22,83.16
2017-11-24,82.92
2017-11-27,83.1
2017-11-28,83.33
2017-11-29,82.94
2017-11-30,84.14
2017-12-01,84.58
2017-12-04,83.43
2017-12-05,82.0
2017-12-06,81.79
2017-12-07,83.11
2017-12-08,82.46
2017-12-11,82.17
2017-12-12,82.15
2017-12-13,82.64
2017-12-14,81.68
2017-12-15,82.28
2017-12-18,82.56
2017-12-19,80.07
2017-12-20,81.0
2017-12-21,81.0
2017-12-22,80.34
2017-12-26,80.39
2017-12-27,80.0
2017-12-28,79.56
2017-12-29,79.56
2018-01-02,79.91
2018-01-03,80.25
2018-01-04,81.37
2018-01-05,81.57
2018-01-08,81.24
2018-01-09,82.93
2018-01-10,82.6
2018-01-11,84.38
2018-01-12,85.04
2018-01-16,84.07
2018-01-17,84.21
2018-01-18,84.05
2018-01-19,86.23
2018-01-22,85.8
2018-01-23,85.35
2018-01-24,85.58
2018-01-25,85.35
2018-01-26,86.37
2018-01-29,86.68
2018-01-30,85.44
2018-01-31,86.11
2018-02-01,85.17
2018-02-02,81.85
2018-02-05,79.11
2018-02-06,80.11
2018-02-07,79.96
2018-02-08,77.32
2018-02-09,78.49
2018-02-12,79.75
2018-02-13,79.65
2018-02-14,79.97
2018-02-15,82.26
2018-02-16,82.72
2018-02-20,85.66
2018-02-21,86.72
2018-02-22,86.04
2018-02-23,86.17
2018-02-26,87.85
2018-02-27,86.97
2018-02-28,84.11
2018-03-01,82.07
2018-03-02,82.23
2018-03-05,83.01
2018-03-06,83.92
2018-03-07,83.93
2018-03-08,84.76
2018-03-09,87.21
2018-03-12,87.4
2018-03-13,86.09
2018-03-14,85.36
2018-03-15,85.48
2018-03-16,85.88
2018-03-19,85.25
2018-03-20,85.63
2018-03-21,85.94
2018-03-22,84.6
2018-03-23,82.96
2018-03-26,84.56
2018-03-27,84.0
2018-03-28,83.13
2018-03-29,85.29
2018-04-02,83.24
2018-04-03,84.59
2018-04-04,85.74
2018-04-05,85.94
2018-04-06,84.75
2018-04-09,84.54
2018-04-10,85.23
2018-04-11,84.54
2018-04-12,85.31
2018-04-13,84.56
2018-04-16,85.37
2018-04-17,85.62
2018-04-18,86.5
2018-04-19,85.39
2018-04-20,84.75
2018-04-23,84.52
2018-04-24,82.15
2018-04-25,83.03
2018-04-26,78.59
2018-04-27,77.83
2018-04-30,77.18
2018-05-01,77.14
2018-05-02,75.12
2018-05-03,74.82
2018-05-04,76.15
2018-05-07,75.74
2018-05-08,75.89
2018-05-09,76.28
2018-05-10,77.31
2018-05-11,77.28
2018-05-14,76.85
2018-05-15,76.46
2018-05-16,77.02
2018-05-17,76.87
2018-05-18,78.37
2018-05-21,78.78
2018-05-22,78.67
2018-05-23,79.22
2018-05-24,79.26
2018-05-25,78.79
2018-05-29,78.27
2018-05-30,79.21
