Date,Close
2017-01-03,72.27
2017-01-04,71.48
2017-01-05,70.62
2017-01-06,71.08
2017-01-09,70.48
2017-01-10,69.35
2017-01-11,69.35
2017-01-12,69.03
2017-01-13,69.08
2017-01-17,69.73
2017-01-18,69.32
2017-01-19,68.73
2017-01-20,68.59
2017-01-23,67.99
2017-01-24,67.87
2017-01-25,68.13
2017-01-26,68.55
2017-01-27,68.95
2017-01-30,67.88
2017-01-31,67.77
2017-02-01,67.61
2017-02-02,68.5
2017-02-03,69.18
2017-02-06,68.19
2017-02-07,66.82
2017-02-08,66.77
2017-02-09,68.19
2017-02-10,68.47
2017-02-13,67.39
2017-02-14,67.16
2017-02-15,67.21
2017-02-16,66.44
2017-02-17,66.27
2017-02-21,66.98
2017-02-22,65.91
2017-02-23,65.25
2017-02-24,64.89
2017-02-27,65.47
2017-02-28,65.55
2017-03-01,66.24
2017-03-02,65.5
2017-03-03,64.86
2017-03-06,64.73
2017-03-07,64.7
2017-03-08,62.06
2017-03-09,62.5
2017-03-10,62.6
2017-03-13,62.88
2017-03-14,63.04
2017-03-15,65.06
2017-03-16,63.82
2017-03-17,64.09
2017-03-20,63.66
2017-03-21,63.36
2017-03-22,63.51
2017-03-23,63.04
2017-03-24,62.83
2017-03-27,62.87
2017-03-28,63.4
2017-03-29,63.78
2017-03-30,64.27
2017-03-31,63.36
2017-04-03,63.74
2017-04-04,64.01
2017-04-05,63.43
2017-04-06,63.28
2017-04-07,62.99
2017-04-10,64.14
2017-04-11,64.98
2017-04-12,65.06
2017-04-13,64.09
2017-04-17,64.03
2017-04-18,62.7
2017-04-19,61.96
2017-04-20,61.93
2017-04-21,61.86
2017-04-24,62.07
2017-04-25,62.5
2017-04-26,62.43
2017-04-27,61.52
2017-04-28,61.54
2017-05-01,60.82
2017-05-02,60.04
2017-05-03,60.17
2017-05-04,58.02
2017-05-05,60.4
2017-05-08,60.6
2017-05-09,59.88
2017-05-10,61.33
2017-05-11,61.07
2017-05-12,60.87
2017-05-15,61.31
2017-05-16,60.53
2017-05-17,60.27
2017-05-18,60.29
2017-05-19,60.64
2017-05-22,60.59
2017-05-23,61.56
2017-05-24,61.16
2017-05-25,60.71
2017-05-26,61.0
2017-05-30,60.12
2017-05-31,58.93
2017-06-01,60.51
2017-06-02,60.7
2017-06-05,60.06
2017-06-06,61.65
2017-06-07,60.13
2017-06-08,58.61
2017-06-09,61.01
2017-06-12,60.85
2017-06-13,61.0
2017-06-14,60.12
2017-06-15,59.4
2017-06-16,61.83
2017-06-19,62.03
2017-06-20,60.77
2017-06-21,59.88
2017-06-22,60.21
2017-06-23,60.12
2017-06-26,60.01
2017-06-27,59.63
2017-06-28,59.57
2017-06-29,59.8
2017-06-30,59.87
2017-07-03,61.26
2017-07-05,59.75
2017-07-06,58.87
2017-07-07,58.68
2017-07-10,58.77
2017-07-11,58.94
2017-07-12,59.16
2017-07-13,59.5
2017-07-14,59.82
2017-07-17,60.04
2017-07-18,60.24
2017-07-19,60.89
2017-07-20,60.52
2017-07-21,60.03
2017-07-24,59.41
2017-07-25,61.01
2017-07-26,61.59
2017-07-27,62.14
2017-07-28,62.73
2017-07-31,61.93
2017-08-01,61.53
2017-08-02,61.37
2017-08-03,61.55
2017-08-04,62.09
2017-08-07,61.83
2017-08-08,61.35
2017-08-09,61.66
2017-08-10,61.34
2017-08-11,61.13
2017-08-14,61.24
2017-08-15,60.62
2017-08-16,59.7
2017-08-17,58.92
2017-08-18,59.15
2017-08-21,58.84
2017-08-22,59.16
2017-08-23,59.6
2017-08-24,59.13
2017-08-25,59.22
2017-08-28,59.13
2017-08-29,59.08
2017-08-30,59.17
2017-08-31,59.7
2017-09-01,59.75
2017-09-05,60.72
2017-09-06,61.62
2017-09-07,61.86
2017-09-08,60.24
2017-09-11,60.41
2017-09-12,60.78
2017-09-13,61.55
2017-09-14,61.58
2017-09-15,61.35
2017-09-18,61.8
2017-09-19,61.86
2017-09-20,62.49
2017-09-21,62.75
2017-09-22,62.94
2017-09-25,64.58
2017-09-26,64.44
2017-09-27,65.19
