Date,Close
2017-01-03,33.72
2017-01-04,33.24
2017-01-05,33.21
2017-01-06,33.11
2017-01-09,32.92
2017-01-10,33.19
2017-01-11,33.07
2017-01-12,33.52
2017-01-13,34.1
2017-01-17,34.84
2017-01-18,34.91
2017-01-19,34.26
2017-01-20,34.09
2017-01-23,33.53
2017-01-24,33.39
2017-01-25,33.47
2017-01-26,33.74
2017-01-27,33.36
2017-01-30,33.6
2017-01-31,33.96
2017-02-01,33.44
2017-02-02,34.1
2017-02-03,34.02
2017-02-06,33.69
2017-02-07,33.08
2017-02-08,32.84
2017-02-09,33.49
2017-02-10,33.48
2017-02-13,33.21
2017-02-14,33.07
2017-02-15,33.51
2017-02-16,33.94
2017-02-17,34.01
2017-02-21,34.22
2017-02-22,33.23
2017-02-23,32.99
2017-02-24,33.29
2017-02-27,32.22
2017-02-28,31.8
2017-03-01,32.06
2017-03-02,30.67
2017-03-03,29.63
2017-03-06,29.37
2017-03-07,28.81
2017-03-08,29.0
2017-03-09,28.83
2017-03-10,28.82
2017-03-13,28.69
2017-03-14,28.7
2017-03-15,28.84
2017-03-16,29.32
2017-03-17,29.55
2017-03-20,29.19
2017-03-21,28.93
2017-03-22,28.96
2017-03-23,29.26
2017-03-24,29.1
2017-03-27,28.93
2017-03-28,29.04
2017-03-29,29.34
2017-03-30,29.2
2017-03-31,29.49
2017-04-03,29.4
2017-04-04,29.69
2017-04-05,29.31
2017-04-06,29.51
2017-04-07,29.86
2017-04-10,30.19
2017-04-11,29.57
2017-04-12,29.86
2017-04-13,29.97
2017-04-17,30.0
2017-04-18,29.82
2017-04-19,29.95
2017-04-20,29.71
2017-04-21,29.95
2017-04-24,30.14
2017-04-25,29.84
2017-04-26,29.86
2017-04-27,30.15
2017-04-28,29.65
2017-05-01,29.02
2017-05-02,28.82
2017-05-03,29.4
2017-05-04,29.22
2017-05-05,29.35
2017-05-08,28.92
2017-05-09,29.05
2017-05-10,30.04
2017-05-11,30.43
2017-05-12,29.52
2017-05-15,29.14
2017-05-16,28.82
2017-05-17,28.6
2017-05-18,29.09
2017-05-19,29.23
2017-05-22,29.28
2017-05-23,29.12
2017-05-24,29.13
2017-05-25,29.24
2017-05-26,29.45
2017-05-30,29.76
2017-05-31,29.78
2017-06-01,30.25
2017-06-02,30.13
2017-06-05,30.09
2017-06-06,29.81
2017-06-07,29.71
2017-06-08,30.2
2017-06-09,30.78
2017-06-12,30.03
2017-06-13,30.32
2017-06-14,30.28
2017-06-15,24.56
2017-06-16,22.29
2017-06-19,22.64
2017-06-20,22.38
2017-06-21,22.37
2017-06-22,22.56
2017-06-23,22.6
2017-06-26,22.61
2017-06-27,22.77
2017-06-28,23.35
2017-06-29,23.24
2017-06-30,23.32
2017-07-03,23.55
2017-07-05,23.23
2017-07-06,23.13
2017-07-07,23.16
2017-07-10,22.61
2017-07-11,22.63
2017-07-12,22.8
2017-07-13,22.92
2017-07-14,23.01
2017-07-17,22.87
2017-07-18,22.55
2017-07-19,22.94
