Date,Close
2017-01-03,52.93
2017-01-04,51.24
2017-01-05,51.05
2017-01-06,50.37
2017-01-09,49.46
2017-01-10,48.97
2017-01-11,49.66
2017-01-12,49.25
2017-01-13,48.38
2017-01-17,48.73
2017-01-18,48.9
2017-01-19,48.37
2017-01-20,48.76
2017-01-23,48.72
2017-01-24,50.09
2017-01-25,49.67
2017-01-26,49.44
2017-01-27,49.08
2017-01-30,48.36
2017-01-31,48.05
2017-02-01,47.71
2017-02-02,47.9
2017-02-03,48.16
2017-02-06,48.37
2017-02-07,47.93
2017-02-08,49.12
2017-02-09,49.93
2017-02-10,50.14
2017-02-13,50.28
2017-02-14,50.96
2017-02-15,50.64
2017-02-16,49.96
2017-02-17,50.02
2017-02-21,50.38
2017-02-22,49.81
2017-02-23,50.35
2017-02-24,50.03
2017-02-27,50.76
2017-02-28,49.6
2017-03-01,50.99
2017-03-02,51.04
2017-03-03,51.27
2017-03-06,51.15
2017-03-07,50.15
2017-03-08,50.22
2017-03-09,49.28
2017-03-10,49.87
2017-03-13,50.99
2017-03-14,50.01
2017-03-15,51.56
2017-03-16,51.18
2017-03-17,50.79
2017-03-20,50.5
2017-03-21,49.26
2017-03-22,49.57
2017-03-23,49.3
2017-03-24,48.87
2017-03-27,48.83
2017-03-28,49.03
2017-03-29,50.55
2017-03-30,50.14
2017-03-31,50.54
2017-04-03,49.94
2017-04-04,50.3
2017-04-05,49.44
2017-04-06,49.84
2017-04-07,50.02
2017-04-10,50.14
2017-04-11,50.43
2017-04-12,49.94
2017-04-13,49.24
2017-04-17,49.9
2017-04-18,48.94
2017-04-19,48.19
2017-04-20,48.54
2017-04-21,48.56
2017-04-24,50.19
2017-04-25,50.03
2017-04-26,49.6
2017-04-27,51.02
2017-04-28,50.94
2017-05-01,50.86
2017-05-02,51.42
2017-05-03,51.24
2017-05-04,49.56
2017-05-05,50.66
2017-05-08,51.34
2017-05-09,51.46
2017-05-10,52.34
2017-05-11,52.51
2017-05-12,52.67
2017-05-15,52.99
2017-05-16,52.48
2017-05-17,52.05
2017-05-18,51.94
2017-05-19,52.78
2017-05-22,52.98
2017-05-23,53.08
2017-05-24,53.13
2017-05-25,52.45
2017-05-26,52.82
2017-05-30,52.42
2017-05-31,52.04
2017-06-01,53.13
2017-06-02,52.7
2017-06-05,52.8
2017-06-06,53.09
2017-06-07,52.97
2017-06-08,53.43
2017-06-09,54.71
2017-06-12,54.47
2017-06-13,55.03
2017-06-14,53.35
2017-06-15,52.99
2017-06-16,53.77
2017-06-19,54.29
2017-06-20,52.85
2017-06-21,51.73
2017-06-22,51.17
2017-06-23,51.5
2017-06-26,51.33
2017-06-27,51.85
2017-06-28,52.62
2017-06-29,51.81
2017-06-30,52.33
2017-07-03,53.1
2017-07-05,52.9
2017-07-06,52.85
2017-07-07,54.07
2017-07-10,54.08
2017-07-11,54.2
2017-07-12,53.76
2017-07-13,53.84
2017-07-14,53.81
2017-07-17,54.31
2017-07-18,54.83
2017-07-19,55.55
2017-07-20,55.4
2017-07-21,55.34
2017-07-24,55.56
2017-07-25,56.02
2017-07-26,55.66
2017-07-27,56.15
2017-07-28,54.98
2017-07-31,55.99
2017-08-01,56.53
2017-08-02,56.2
2017-08-03,55.89
2017-08-04,55.79
2017-08-07,54.9
2017-08-08,54.44
2017-08-09,52.99
2017-08-10,52.21
2017-08-11,52.16
2017-08-14,52.31
2017-08-15,51.89
2017-08-16,51.06
2017-08-17,49.7
2017-08-18,50.11
2017-08-21,49.45
2017-08-22,49.67
2017-08-23,50.17
2017-08-24,51.13
2017-08-25,51.72
2017-08-28,52.52
2017-08-29,51.43
2017-08-30,52.33
2017-08-31,52.45
2017-09-01,54.28
2017-09-05,51.79
2017-09-06,52.37
2017-09-07,52.63
2017-09-08,53.42
2017-09-11,53.75
2017-09-12,53.77
2017-09-13,53.21
2017-09-14,52.34
2017-09-15,52.96
2017-09-18,53.58
2017-09-19,54.2
2017-09-20,54.43
2017-09-21,54.37
2017-09-22,54.73
2017-09-25,55.53
2017-09-26,55.38
2017-09-27,55.24
2017-09-28,55.47
2017-09-29,56.08
2017-10-02,55.89
2017-10-03,56.14
2017-10-04,56.31
2017-10-05,56.25
2017-10-06,56.02
2017-10-09,56.14
2017-10-10,56.25
2017-10-11,56.22
2017-10-12,56.55
2017-10-13,56.37
2017-10-16,55.72
2017-10-17,56.51
2017-10-18,56.75
2017-10-19,57.1
2017-10-20,57.49
2017-10-23,56.34
2017-10-24,56.99
2017-10-25,56.44
2017-10-26,57.27
2017-10-27,58.47
2017-10-30,59.06
2017-10-31,59.74
2017-11-01,60.89
2017-11-02,62.17
2017-11-03,62.2
2017-11-06,62.35
2017-11-07,63.11
2017-11-08,63.22
2017-11-09,61.66
2017-11-10,61.72
2017-11-13,62.2
2017-11-14,62.87
2017-11-15,61.5
2017-11-16,62.01
2017-11-17,62.27
2017-11-20,61.94
2017-11-21,62.29
2017-11-22,62.01
2017-11-24,62.03
2017-11-27,61.88
2017-11-28,62.22
2017-11-29,61.4
2017-11-30,62.63
2017-12-01,62.84
2017-12-04,63.3
2017-12-05,64.54
2017-12-06,63.46
2017-12-07,64.0
2017-12-08,64.75
2017-12-11,64.46
2017-12-12,64.49
2017-12-13,64.15
2017-12-14,64.66
2017-12-15,65.75
2017-12-18,66.01
2017-12-19,64.75
2017-12-20,65.66
2017-12-21,66.33
2017-12-22,66.36
2017-12-26,66.84
2017-12-27,66.42
2017-12-28,66.4
2017-12-29,65.98
2018-01-02,67.18
2018-01-03,68.61
2018-01-04,68.68
2018-01-05,69.34
2018-01-08,69.39
2018-01-09,69.0
2018-01-10,69.51
2018-01-11,70.25
2018-01-12,71.42
2018-01-16,70.78
2018-01-17,71.98
2018-01-18,71.49
2018-01-19,71.89
2018-01-22,73.16
2018-01-23,73.12
2018-01-24,71.59
2018-01-25,71.08
2018-01-26,71.74
2018-01-29,70.15
2018-01-30,69.13
2018-01-31,69.27
2018-02-01,68.69
2018-02-02,67.41
2018-02-05,64.58
2018-02-06,65.69
2018-02-07,65.09
2018-02-08,62.79
2018-02-09,63.84
